iter	Passed	Remaining
0	58	58801
1	59	29815
2	60	20094
3	61	15207
4	61	12283
5	62	10339
6	63	8950
7	63	7906
8	64	7086
9	65	6444
10	65	5898
11	66	5452
12	66	5075
13	67	4753
14	68	4472
15	68	4221
16	69	4016
17	70	3825
18	70	3659
19	71	3507
20	72	3367
21	72	3238
22	73	3124
23	74	3016
24	74	2916
25	75	2827
26	76	2742
27	76	2661
28	77	2587
29	77	2520
30	78	2458
31	79	2397
32	79	2341
33	80	2288
34	81	2237
35	81	2191
36	82	2144
37	83	2102
38	83	2060
39	84	2021
40	84	1984
41	85	1949
42	86	1916
43	87	1890
44	87	1858
45	88	1828
46	88	1800
47	89	1773
48	90	1747
49	90	1721
50	91	1697
51	91	1675
52	92	1653
53	93	1634
54	93	1614
55	94	1594
56	95	1575
57	95	1556
58	96	1538
59	97	1520
60	97	1503
61	98	1486
62	98	1470
63	99	1452
64	99	1438
65	100	1424
66	101	1410
67	101	1396
68	102	1383
69	103	1370
70	103	1355
71	104	1342
72	104	1333
73	105	1321
74	106	1312
75	107	1303
76	107	1292
77	108	1281
78	109	1272
79	109	1260
80	110	1251
81	110	1241
82	111	1232
83	112	1223
84	112	1213
85	113	1204
86	114	1196
87	114	1187
88	115	1181
89	115	1172
90	116	1165
91	117	1156
92	117	1149
93	118	1141
94	119	1134
95	119	1127
96	120	1121
97	121	1114
98	121	1105
99	122	1100
100	122	1094
101	123	1088
102	123	1079
103	124	1073
104	125	1067
105	125	1061
106	126	1056
107	127	1050
108	127	1044
109	128	1038
110	128	1032
111	129	1027
112	130	1021
113	130	1016
114	131	1011
115	131	1005
116	132	1001
117	133	996
118	133	991
119	134	985
120	135	981
121	135	976
122	136	972
123	136	967
124	137	962
125	138	957
126	138	953
127	139	949
128	140	945
129	140	941
130	141	937
131	141	932
132	142	929
133	143	925
134	143	922
135	144	918
136	145	914
137	145	910
138	146	907
139	147	903
140	147	900
141	148	898
142	149	895
143	150	892
144	150	888
145	151	885
146	152	882
147	152	879
148	153	875
149	153	872
150	154	869
151	155	866
152	155	863
153	156	860
154	157	857
155	158	854
156	158	852
157	159	849
158	159	845
159	160	843
160	161	840
161	162	838
162	162	835
163	163	832
164	164	830
165	164	826
166	165	823
167	165	821
168	166	818
169	167	815
170	167	812
171	168	809
172	168	806
173	169	804
174	170	802
175	171	801
176	172	799
177	172	797
178	173	795
179	173	792
180	174	789
181	175	787
182	175	785
183	176	783
184	177	781
185	177	778
186	178	776
187	179	774
188	179	771
189	180	769
190	181	767
191	181	764
192	182	762
193	182	759
194	183	757
195	184	755
196	184	753
197	185	751
198	186	749
199	186	747
200	187	745
201	188	743
202	188	741
203	189	739
204	190	738
205	191	736
206	191	734
207	192	732
208	193	730
209	193	728
210	194	726
211	195	725
212	195	722
213	196	721
214	197	719
215	197	718
216	198	716
217	199	714
218	199	712
219	200	710
220	200	708
221	201	705
222	202	704
223	202	702
224	203	701
225	204	700
226	205	698
227	205	697
228	206	695
229	207	693
230	207	691
231	208	690
232	209	689
233	210	687
234	210	686
235	211	684
236	212	683
237	213	681
238	213	681
239	214	679
240	215	678
241	216	676
242	216	674
243	217	673
244	217	671
245	218	670
246	219	668
247	219	667
248	220	665
249	221	663
250	221	661
251	222	660
252	222	657
253	223	656
254	223	654
255	224	652
256	225	651
257	225	649
258	226	647
259	227	646
260	227	644
261	228	643
262	229	642
263	229	640
264	230	639
265	231	637
266	231	636
267	232	635
268	233	633
269	233	631
270	234	630
271	235	629
272	235	627
273	236	626
274	237	625
275	237	623
276	238	622
277	239	621
278	239	620
279	240	618
280	241	617
281	241	615
282	242	613
283	242	612
284	243	611
285	244	609
286	244	608
287	245	607
288	246	606
289	247	604
290	247	603
291	248	602
292	248	600
